data_dte,Year,Month,usg_apt_id,usg_apt,usg_wac,fg_apt_id,fg_apt,fg_wac,airlineid,carrier,carriergroup,type,Scheduled,Charter,Total
5/1/2006,2006,5,12016,GUM,5,13162,MAJ,844,20177,PFQ,1,Departures,0,10,10
5/1/2003,2003,5,10299,ANC,1,13856,OKO,736,20007,5Y,1,Departures,0,15,15
5/1/2003,2003,5,10299,ANC,1,13856,OKO,736,20007,5Y,1,Departures,0,15,15
3/1/2007,2007,3,10721,BOS,13,12651,KEF,439,20402,GL,,Departures,0,1,1
12/1/2004,2004,12,11259,DAL,74,16271,YYZ,936,20201,AMQ,1,Departures,0,1,1
5/1/2009,2009,5,13303,MIA,33,11075,CMW,219,21323,5L,0,Departures,0,20,20
10/1/2007,2007,10,14761,SFB,33,11928,GLA,493,20444,JN,0,Departures,0,8,8
2/1/2002,2002,2,14100,PHL,23,11032,CUN,148,20402,MMQ,1,Departures,0,1,1
5/1/2003,2003,5,10299,ANC,1,13856,OKO,736,20007,5Y,1,Departures,0,15,15
11/1/2001,2001,11,13930,ORD,41,16042,YEG,916,19531,AC,0,Departures,0,1,1
7/1/2003,2003,7,13198,MCI,64,13514,MTY,148,20201,AMQ,1,Departures,0,1,1
11/1/2009,2009,11,11057,CLT,36,11032,CUN,148,20423,U5,1,Departures,0,2,2
9/1/2008,2008,9,15016,STL,64,16271,YYZ,936,19531,AC,0,Departures,0,1,1
11/1/2004,2004,11,15304,TPA,33,11032,CUN,148,20402,GL,1,Departures,0,1,1
8/1/2009,2009,8,13061,LRD,74,14886,SLW,148,20166,GFQ,1,Departures,,1,1
5/1/2009,2009,5,13930,ORD,41,11032,CUN,148,19534,AM,0,Departures,0,10,10
6/1/2007,2007,6,12266,IAH,74,15018,STN,493,20007,5Y,1,Departures,0,1,1
7/1/2009,2009,7,15842,WRI,21,16050,YFB,934,20169,L2,1,Departures,0,4,4
2/1/2001,2001,2,11637,FAR,66,14312,PVR,148,20312,TZ,,Departures,0,3,3
10/1/2007,2007,10,10821,BWI,35,12938,LEJ,429,20095,WO,1,Departures,0,5,5
4/1/2007,2007,4,10299,ANC,1,13954,OSN,778,20057,EZ,1,Departures,0,6,6
5/1/2006,2006,5,13796,OAK,91,16042,YEG,916,19531,AC,0,Departures,0,1,1
6/1/2005,2005,6,12478,JFK,22,12991,LIS,469,20415,NA,1,Departures,0,1,1
5/1/2010,2010,5,14050,PDK,34,10591,BHD,493,21131,VSA,0,Departures,0,1,1
10/1/2001,2001,10,11193,CVG,52,11731,FPO,204,20147,T9,1,Departures,0,15,15
1/1/2003,2003,1,12266,IAH,74,10884,CAY,344,20110,AUQ,0,Departures,0,2,2
2/1/2002,2002,2,11267,DAY,44,10752,BRU,409,20095,WO,1,Departures,0,40,40
6/1/2006,2006,6,13303,MIA,33,14626,RSD,204,20401,3M,1,Departures,0,1,1
12/1/2001,2001,12,11697,FLL,33,13605,NAS,204,20402,MMQ,1,Departures,0,2,2
3/1/2003,2003,3,13061,LRD,74,13252,MEX,148,20201,AMQ,1,Departures,0,1,1
2/1/2006,2006,2,11618,EWR,21,10752,BRU,409,20370,KAQ,1,Departures,0,3,3
3/1/2009,2009,3,14512,RFD,41,11032,CUN,148,19534,AM,0,Departures,0,17,17
4/1/2008,2008,4,14122,PIT,23,16271,YYZ,936,20402,GL,1,Departures,0,2,2
9/1/2004,2004,9,12173,HNL,2,15092,SYD,802,20007,5Y,1,Departures,0,8,8
1/1/2010,2010,1,13303,MIA,33,14677,SAL,118,20169,L2,1,Departures,0,2,2
7/1/2007,2007,7,14771,SFO,91,11760,FRA,429,20007,5Y,1,Departures,0,1,1
2/1/2004,2004,2,12478,JFK,22,11548,EMA,493,20370,KAQ,1,Departures,0,5,5
1/1/2002,2002,1,11630,FAI,1,13518,MUC,429,19554,LH,0,Departures,0,1,1
11/1/2006,2006,11,12478,JFK,22,14210,POS,280,20415,NA,1,Departures,0,10,10
8/1/2003,2003,8,11423,DSM,61,12239,HUX,148,20402,MMQ,1,Departures,0,1,1
